nWord_title,nStanza,nLine,nWord,nSyll,rate_shortS,mean_nLine_lg,med_nLine_lg,q1_nLine_lg,q3_nLine_lg,min_nLine_lg,max_nLine_lg,range_nLine_lg,MADmean_nLine_lg,MADmed_nLine_lg,std_nLine_lg,rstd_nLine_lg,mean_nWord_lg,med_nWord_lg,q1_nWord_lg,q3_nWord_lg,min_nWord_lg,max_nWord_lg,range_nWord_lg,MADmean_nWord_lg,MADmed_nWord_lg,std_nWord_lg,rstd_nWord_lg,mean_nSyll_lg,med_nSyll_lg,q1_nSyll_lg,q3_nSyll_lg,min_nSyll_lg,max_nSyll_lg,range_nSyll_lg,MADmean_nSyll_lg,MADmed_nSyll_lg,std_nSyll_lg,rstd_nSyll_lg,mean_nShortS_lg,med_nShortS_lg,q1_nShortS_lg,q3_nShortS_lg,min_nShortS_lg,max_nShortS_lg,range_nShortS_lg,MADmean_nShortS_lg,MADmed_nShortS_lg,std_nShortS_lg,rstd_nShortS_lg,mean_nLongS_lg,med_nLongS_lg,q1_nLongS_lg,q3_nLongS_lg,min_nLongS_lg,max_nLongS_lg,range_nLongS_lg,MADmean_nLongS_lg,MADmed_nLongS_lg,std_nLongS_lg,rstd_nLongS_lg,rhyme_abcb,rhyme_aba,rhyme_abcdb,rhyme_abca,rhyme_abb,rhyme_aaaa,mean_nWord_l,med_nWord_l,q1_nWord_l,q3_nWord_l,min_nWord_l,max_nWord_l,range_nWord_l,MADmean_nWord_l,MADmed_nWord_l,std_nWord_l,rstd_nWord_l,mean_nSyll_l,med_nSyll_l,q1_nSyll_l,q3_nSyll_l,min_nSyll_l,max_nSyll_l,range_nSyll_l,MADmean_nSyll_l,MADmed_nSyll_l,std_nSyll_l,rstd_nSyll_l,mean_nShortS_l,med_nShortS_l,q1_nShortS_l,q3_nShortS_l,min_nShortS_l,max_nShortS_l,range_nShortS_l,MADmean_nShortS_l,MADmed_nShortS_l,std_nShortS_l,rstd_nShortS_l,mean_nLongS_l,med_nLongS_l,q1_nLongS_l,q3_nLongS_l,min_nLongS_l,max_nLongS_l,range_nLongS_l,MADmean_nLongS_l,MADmed_nLongS_l,std_nLongS_l,rstd_nLongS_l,PROPN,NOUN,ADJ,NUM,PRON,VERB,ADV,CONJ,SCONJ,DET,ADP,INTJ,PART,rate_PROPN_NOUN,rate_ADJ,rate_NOUNs,rate_VERB,rate_ADV,rate_phontypeLow,rate_phontypeHigh,rate_phontypeMixed,mean_lenWord,med_lenWord,q1_lenWord,q3_lenWord,min_lenWord,max_lenWord,range_lenWord,MADmean_lenWord,MADmed_lenWord,std_lenWord,rstd_lenWord,sum_lenWord,rate_consonant,rate_fFV,rate_FFV,rate_bFV,rate_BFV,PUNCT,nRhymepair,nAll,rate_clearAll,mean_lenAll,med_lenAll,q1_lenAll,q3_lenAll,min_lenAll,max_lenAll,range_lenAll,MADmean_lenAll,MADmed_lenAll,std_lenAll,rstd_lenAll,class_label
6,4,16,82,157,0.503,4.0,4.0,4.0,4.0,4,4,0,0.0,0.0,0.0,0.0,20.5,20.0,19.5,21.0,18.0,24.0,6.0,1.75,1.0,2.517,0.123,39.25,39.0,38.0,40.25,38.0,41.0,3.0,1.25,1.0,1.5,0.038,19.75,19.5,18.25,21.0,16.0,24.0,8.0,2.25,2.0,3.304,0.167,19.5,18.5,17.5,20.5,16.0,25.0,9.0,2.75,1.5,3.873,0.199,4,0,0,0,0,0,5.125,5.0,4.0,6.0,4.0,7.0,3.0,0.891,1.0,1.025,0.2,9.812,10.0,9.75,10.0,8.0,11.0,3.0,0.531,0.0,0.75,0.076,4.938,5.0,4.0,6.0,2.0,7.0,5.0,1.078,1.0,1.436,0.291,4.875,5.0,4.0,6.0,3.0,7.0,4.0,1.141,1.0,1.36,0.279,7,17,15,1,6,12,12,5,1,5,1,0,0,0.293,0.183,0.561,0.146,0.146,0.427,0.378,0.171,4.671,5.0,2.0,6.0,1.0,10.0,9.0,1.938,2.0,2.342,0.501,383.0,0.59,0.141,0.06,0.151,0.057,17.0,4,5,0.4,2.6,3.0,2.0,3.0,2.0,3.0,1.0,0.48,0.0,0.548,0.211,1
3,5,25,108,210,0.448,5.0,5.0,5.0,5.0,5,5,0,0.0,0.0,0.0,0.0,21.6,21.0,20.0,22.0,20.0,25.0,5.0,1.52,1.0,2.074,0.096,42.0,42.0,42.0,42.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,18.8,19.0,17.0,20.0,16.0,22.0,6.0,1.84,2.0,2.387,0.127,23.2,23.0,22.0,25.0,20.0,26.0,6.0,1.84,2.0,2.387,0.103,0,0,0,0,0,0,4.32,4.0,4.0,5.0,2.0,7.0,5.0,0.81,1.0,1.069,0.248,8.4,8.0,8.0,9.0,8.0,9.0,1.0,0.48,0.0,0.5,0.06,3.76,4.0,3.0,5.0,1.0,7.0,6.0,1.21,1.0,1.451,0.386,4.64,5.0,4.0,6.0,1.0,7.0,6.0,1.123,1.0,1.381,0.298,0,24,20,0,16,19,7,7,2,13,0,0,0,0.222,0.185,0.556,0.176,0.065,0.361,0.454,0.148,4.852,5.0,2.0,7.0,1.0,13.0,12.0,2.434,3.0,2.916,0.601,524.0,0.599,0.17,0.034,0.137,0.059,28.0,7,6,0.5,2.667,2.5,2.0,3.0,2.0,4.0,2.0,0.667,0.5,0.816,0.306,1
4,4,16,77,136,0.529,4.0,4.0,4.0,4.0,4,4,0,0.0,0.0,0.0,0.0,19.25,19.5,17.75,21.0,17.0,21.0,4.0,1.75,1.5,2.062,0.107,34.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,17.75,18.25,17.0,19.0,2.0,0.5,0.5,0.816,0.045,16.0,16.0,15.75,16.25,15.0,17.0,2.0,0.5,0.5,0.816,0.051,4,0,0,0,0,0,4.812,4.5,4.0,6.0,4.0,6.0,2.0,0.812,0.5,0.911,0.189,8.5,8.5,8.0,9.0,8.0,9.0,1.0,0.5,0.5,0.516,0.061,4.5,4.0,4.0,5.0,3.0,7.0,4.0,0.812,1.0,1.033,0.23,4.0,4.0,3.0,5.0,2.0,6.0,4.0,0.875,1.0,1.155,0.289,0,20,17,2,3,9,8,6,0,12,0,0,0,0.26,0.221,0.545,0.117,0.104,0.481,0.364,0.13,4.247,4.0,2.0,6.0,1.0,11.0,10.0,2.107,2.0,2.519,0.593,327.0,0.584,0.147,0.04,0.177,0.052,24.0,4,2,0.0,3.5,3.5,3.25,3.75,3.0,4.0,1.0,0.5,0.5,0.707,0.202,1
3,1,15,43,75,0.453,15.0,15.0,15.0,15.0,15,15,0,0.0,0.0,0.0,0.0,43.0,43.0,43.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,41.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.867,3.0,2.0,4.0,1.0,4.0,3.0,0.827,1.0,0.99,0.345,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.833,3.0,2.0,4.0,1.0,4.0,3.0,0.861,1.0,1.03,0.363,2.733,3.0,1.5,3.5,1.0,5.0,4.0,1.218,1.0,1.486,0.544,0,8,3,1,7,9,2,2,5,6,0,0,0,0.186,0.07,0.442,0.209,0.047,0.395,0.535,0.023,4.628,5.0,2.5,6.0,1.0,12.0,11.0,1.95,1.0,2.526,0.546,199.0,0.623,0.206,0.015,0.131,0.025,11.0,8,2,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1
4,3,24,97,180,0.45,8.0,8.0,8.0,8.0,8,8,0,0.0,0.0,0.0,0.0,32.333,31.0,30.5,33.5,30.0,36.0,6.0,2.444,1.0,3.215,0.099,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4.042,4.0,3.75,5.0,2.0,6.0,4.0,0.642,1.0,0.908,0.225,7.5,7.5,7.0,8.0,7.0,8.0,1.0,0.5,0.5,0.511,0.068,3.375,3.5,2.75,4.0,2.0,6.0,4.0,0.875,0.5,1.056,0.313,4.125,4.0,3.75,5.0,1.0,6.0,5.0,0.823,1.0,1.116,0.27,1,28,14,0,11,20,4,2,1,16,0,0,0,0.299,0.144,0.557,0.206,0.041,0.505,0.433,0.052,4.67,5.0,3.0,7.0,1.0,13.0,12.0,2.065,2.0,2.44,0.522,453.0,0.603,0.152,0.044,0.157,0.044,25.0,7,11,0.909,2.273,2.0,2.0,2.0,2.0,4.0,2.0,0.446,0.0,0.647,0.285,1
3,3,15,59,105,0.4,5.0,5.0,5.0,5.0,5,5,0,0.0,0.0,0.0,0.0,19.667,19.0,18.5,20.5,18.0,22.0,4.0,1.556,1.0,2.082,0.106,35.0,35.0,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,11.5,16.0,10.0,19.0,9.0,3.333,3.0,4.583,0.327,21.0,22.0,19.0,23.5,16.0,25.0,9.0,3.333,3.0,4.583,0.218,0,0,1,0,0,0,3.933,3.0,3.0,4.5,2.0,10.0,8.0,1.396,1.0,2.052,0.522,7.0,5.0,5.0,10.0,5.0,10.0,5.0,2.4,0.0,2.535,0.362,3.0,3.0,2.0,3.75,1.0,7.0,6.0,1.286,1.0,1.797,0.599,4.2,4.0,3.0,5.5,2.0,7.0,5.0,1.333,1.0,1.656,0.394,0,13,3,0,5,16,12,4,0,5,1,0,0,0.22,0.051,0.356,0.271,0.203,0.492,0.407,0.068,4.661,5.0,3.0,6.0,1.0,12.0,11.0,2.006,2.0,2.44,0.523,275.0,0.618,0.109,0.055,0.178,0.04,16.0,5,3,0.333,2.667,3.0,2.5,3.0,2.0,3.0,1.0,0.444,0.0,0.577,0.217,1
3,4,12,41,83,0.554,3.0,3.0,3.0,3.0,3,3,0,0.0,0.0,0.0,0.0,10.25,10.5,8.75,12.0,8.0,12.0,4.0,1.75,1.5,2.062,0.201,20.75,21.0,20.75,21.0,20.0,21.0,1.0,0.375,0.0,0.5,0.024,11.5,11.5,10.75,12.25,10.0,13.0,3.0,1.0,1.0,1.291,0.112,9.25,9.5,8.75,10.0,8.0,10.0,2.0,0.75,0.5,0.957,0.104,0,4,0,0,0,0,3.417,3.5,2.0,4.25,2.0,5.0,3.0,1.083,1.5,1.24,0.363,6.917,7.0,5.0,8.25,5.0,9.0,4.0,1.278,2.0,1.621,0.234,3.833,3.5,3.0,4.0,2.0,7.0,5.0,1.167,0.5,1.642,0.428,3.083,3.0,2.0,4.0,2.0,5.0,3.0,0.944,1.0,1.165,0.378,2,9,7,0,2,7,9,0,0,5,0,0,0,0.268,0.171,0.488,0.171,0.22,0.341,0.512,0.146,4.756,5.0,3.0,6.0,1.0,12.0,11.0,2.067,2.0,2.691,0.566,195.0,0.574,0.19,0.056,0.133,0.046,13.0,4,6,0.333,2.667,3.0,2.25,3.0,2.0,3.0,1.0,0.444,0.0,0.516,0.194,1
3,5,15,55,137,0.445,3.0,3.0,3.0,3.0,3,3,0,0.0,0.0,0.0,0.0,11.0,11.0,10.0,11.0,10.0,13.0,3.0,0.8,1.0,1.225,0.111,27.4,27.0,27.0,28.0,27.0,28.0,1.0,0.48,0.0,0.548,0.02,12.2,12.0,11.0,13.0,11.0,14.0,3.0,1.04,1.0,1.304,0.107,15.2,15.0,15.0,16.0,14.0,16.0,2.0,0.64,1.0,0.837,0.055,0,0,0,0,3,0,3.667,4.0,3.0,4.0,2.0,5.0,3.0,0.578,0.0,0.724,0.197,9.133,9.0,9.0,9.0,9.0,10.0,1.0,0.231,0.0,0.352,0.039,4.067,4.0,3.5,5.0,3.0,5.0,2.0,0.622,1.0,0.799,0.196,5.067,5.0,4.5,6.0,4.0,6.0,2.0,0.622,1.0,0.799,0.158,1,14,9,0,4,16,7,1,0,1,2,0,0,0.273,0.164,0.509,0.291,0.127,0.236,0.527,0.218,6.236,5.0,5.0,8.5,1.0,14.0,13.0,2.309,1.0,2.887,0.463,343.0,0.601,0.187,0.052,0.114,0.047,24.0,7,10,0.5,2.5,2.5,2.0,3.0,2.0,3.0,1.0,0.5,0.5,0.527,0.211,1
3,2,10,32,70,0.343,5.0,5.0,5.0,5.0,5,5,0,0.0,0.0,0.0,0.0,16.0,16.0,15.5,16.5,15.0,17.0,2.0,1.0,1.0,1.414,0.088,35.0,35.0,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,11.5,12.5,11.0,13.0,2.0,1.0,1.0,1.414,0.118,23.0,23.0,22.5,23.5,22.0,24.0,2.0,1.0,1.0,1.414,0.061,0,0,0,0,0,0,3.2,3.0,3.0,4.0,2.0,4.0,2.0,0.64,1.0,0.789,0.247,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.4,2.5,2.0,3.0,1.0,4.0,3.0,0.8,0.5,0.966,0.403,4.6,4.5,4.0,5.0,3.0,6.0,3.0,0.8,0.5,0.966,0.21,0,9,6,1,3,10,0,1,1,1,0,0,0,0.281,0.188,0.594,0.312,0.0,0.438,0.406,0.156,5.938,6.0,4.75,7.25,2.0,12.0,10.0,1.887,1.5,2.59,0.436,190.0,0.632,0.126,0.037,0.153,0.053,14.0,4,1,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1
3,3,12,64,119,0.454,4.0,4.0,4.0,4.0,4,4,0,0.0,0.0,0.0,0.0,21.333,21.0,20.5,22.0,20.0,23.0,3.0,1.111,1.0,1.528,0.072,39.667,40.0,39.5,40.0,39.0,40.0,1.0,0.444,0.0,0.577,0.015,18.0,18.0,17.0,19.0,16.0,20.0,4.0,1.333,2.0,2.0,0.111,21.667,21.0,20.5,22.5,20.0,24.0,4.0,1.556,1.0,2.082,0.096,0,0,0,0,0,1,5.333,5.5,4.75,6.0,4.0,7.0,3.0,0.833,0.5,0.985,0.185,9.917,10.0,10.0,10.0,9.0,10.0,1.0,0.153,0.0,0.289,0.029,4.5,5.0,4.0,5.0,2.0,6.0,4.0,0.833,0.0,1.087,0.242,5.417,5.0,5.0,5.25,4.0,8.0,4.0,0.792,0.0,1.084,0.2,1,15,8,1,5,21,5,1,0,6,0,0,1,0.25,0.125,0.469,0.328,0.078,0.453,0.406,0.141,4.703,5.0,3.0,5.25,1.0,13.0,12.0,1.652,1.0,2.259,0.48,301.0,0.605,0.126,0.063,0.159,0.047,27.0,7,7,0.429,2.714,3.0,2.0,3.0,2.0,4.0,2.0,0.612,1.0,0.756,0.279,1
