nWord_title,nStanza,q3_nSyll_lg,MADmed_nSyll_lg,rstd_nSyll_lg,rhyme_abcdb,rhyme_abca,rhyme_aaaa,q1_nWord_l,MADmed_nSyll_l,SCONJ,DET,ADP,med_lenWord,PUNCT,range_lenAll,class_label
6,4,40.25,1.0,0.038,0,0,0,4.0,0.0,1,5,1,5.0,17.0,1.0,1
3,5,42.0,0.0,0.0,0,0,0,4.0,0.0,2,13,0,5.0,28.0,2.0,1
4,4,34.0,0.0,0.0,0,0,0,4.0,0.5,0,12,0,4.0,24.0,1.0,1
3,1,75.0,0.0,0.0,0,0,0,2.0,0.0,5,6,0,5.0,11.0,0.0,1
4,3,60.0,0.0,0.0,0,0,0,3.75,0.5,1,16,0,5.0,25.0,2.0,1
3,3,35.0,0.0,0.0,1,0,0,3.0,0.0,0,5,1,5.0,16.0,1.0,1
3,4,21.0,0.0,0.024,0,0,0,2.0,2.0,0,5,0,5.0,13.0,1.0,1
3,5,28.0,0.0,0.02,0,0,0,3.0,0.0,0,1,2,5.0,24.0,1.0,1
3,2,35.0,0.0,0.0,0,0,0,3.0,0.0,1,1,0,6.0,14.0,0.0,1
3,3,40.0,0.0,0.015,0,0,1,4.75,0.0,0,6,0,5.0,27.0,2.0,1
3,1,220.0,0.0,0.0,0,0,0,5.0,0.0,1,8,1,5.0,41.0,3.0,1
3,4,36.0,0.0,0.0,0,0,0,3.75,0.5,2,7,1,5.0,24.0,2.0,1
3,2,102.75,0.5,0.007,0,0,0,4.0,0.0,2,13,2,4.0,31.0,2.0,1
3,2,61.0,0.0,0.0,0,0,0,4.0,0.0,0,3,1,4.0,27.0,1.0,1
3,1,295.0,0.0,0.0,0,0,0,5.0,0.0,1,9,2,5.0,58.0,1.0,1
3,3,107.5,5.0,0.783,0,0,0,2.0,0.0,1,12,2,5.0,49.0,4.0,1
3,7,26.0,0.0,0.0,0,0,0,4.0,0.0,1,14,0,5.0,25.0,1.0,1
3,3,28.0,0.0,0.0,0,0,0,2.0,0.5,1,4,1,5.0,17.0,0.0,1
3,5,44.0,1.0,0.082,0,0,0,4.0,0.0,0,18,1,5.0,30.0,2.0,1
3,4,31.0,0.0,0.0,0,0,0,4.0,0.0,3,2,3,5.0,28.0,3.0,1
3,4,28.0,0.0,0.0,0,0,0,2.75,0.0,0,4,0,5.0,21.0,2.0,1
3,6,26.0,0.0,0.0,0,0,0,4.0,0.0,1,6,1,4.0,25.0,1.0,1
3,4,32.0,0.0,0.0,0,0,0,4.0,0.0,2,6,0,5.0,17.0,3.0,1
3,4,27.0,0.0,0.0,0,0,0,3.75,0.0,0,8,0,6.0,16.0,0.0,1
3,4,36.0,0.0,0.0,0,0,0,3.75,0.0,2,8,1,5.5,17.0,1.0,1
