,title,nan_count_label,nan_list
1116,In Horatium,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1138,Aestati Hiems,2,"['std_lenAll', 'rstd_lenAll']"
1148,Húnyt szemmel...,12,"['rate_clearAll', 'mean_lenAll', 'med_lenAll', 'q1_lenAll', 'q3_lenAll', 'min_lenAll', 'max_lenAll', 'range_lenAll', 'MADmean_lenAll', 'MADmed_lenAll', 'std_lenAll', 'rstd_lenAll']"
1150,Fekete ország,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1158,Esti kérdés,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1159,Az őszi tücsökhöz,2,"['std_lenAll', 'rstd_lenAll']"
1166,Esti dal,12,"['rate_clearAll', 'mean_lenAll', 'med_lenAll', 'q1_lenAll', 'q3_lenAll', 'min_lenAll', 'max_lenAll', 'range_lenAll', 'MADmean_lenAll', 'MADmed_lenAll', 'std_lenAll', 'rstd_lenAll']"
1177,Óda a szépségről,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1188,Klasszikus álmok...,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1191,Bakhánslárma,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1193,Új Leoninusok,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1203,Egy szomorú vers,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1210,Hiszekegy,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1219,Miként szélcsendben a hajó,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1225,Palotai est,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1239,Kabala,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1250,Miatyánk,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1257,Szálló nap után,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1272,Emlékezés,12,"['rate_clearAll', 'mean_lenAll', 'med_lenAll', 'q1_lenAll', 'q3_lenAll', 'min_lenAll', 'max_lenAll', 'range_lenAll', 'MADmean_lenAll', 'MADmed_lenAll', 'std_lenAll', 'rstd_lenAll']"
1286,Szíttál-e lassú mérgeket?,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1297,Pesti éj,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1308,Örömről daloltok,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1311,Erdei lakásban,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1313,Free Trade,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1318,A sziget nem elég magas,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1319,Egy fonnyadó bokorhoz,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
1320,"Csövek, erek, terek",10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
